id,text,ai_opinion,Alex,Panagiotis,Athina,Final Opinion,Topic
UgyyrM2cEQF1IqzGU0Z4AaABAg,"Just realized Ronaldo, Ronaldinho, Burna Boy, Shakira, and BTS all joined the kids choir and Coldplay at the very end❤",positive,neutral,positive,positive,positive,Mundial
Ugx54KWuK61KS5uVq-R4AaABAg,"Can't believe BTS wrapped their historic 2 nights in Paris with 180k audience, immediately got on a 10 hour flight and reached NYC only few hours before the match to delivering a flawless live performance. Man 13 years in the game and they love their craft. Nothing but respect❤",positive,neutral,neutral,positive,positive,Mundial
Ugx6SzGUaQzUdYq_wpB4AaABAg,"I was one of the female dancers in this performance, and I can honestly say it was an unforgettable experience. Working with Shakira was such an amazing opportunity, and sharing the stage with legends like Ronaldo and Ronaldinho made it even more special. Moments like this stay with you forever.",positive,neutral,positive,positive,positive,Mundial
Ugx18RCKrqXjR5Dl4_x4AaABAg,Did anyone notice at the end of the half time show during the children's performance when everyone stepped in to front but BTS and Justin bieber moved to back without stealing the spotlight.. Such a nice a thoughtful gesture from them.. 🥰,positive,neutral,neutral,positive,positive,Mundial
UgxcVq9zSA1A7QMxOqt4AaABAg,From Jungkook performing in 2022 to whole group performing in 2026...BTS you paved the way 🥹💜️💜️,neutral,neutral,neutral,positive,neutral,Mundial
Ugx8r0fGdeQDwCVYS5h4AaABAg,The fact that bts reached US like 5 hours before the show and then rehearsed but still nailed the performance is crazy,negative,neutral,positive,positive,positive,Mundial
Ugz7NnQ-0iUjDWo4E5V4AaABAg,The goal that saved the world from noise pollution. 😊,positive,positive,positive,positive,positive,Mundial
Ugx9Fm2iwJkvBLhKNyB4AaABAg,Huge credit to Spain for finally breaking Speed's curse,positive,positive,positive,positive,positive,Mundial
UgwCJx7IMruDF39et314AaABAg,it’s gonna be so weird staying up late without the World Cup in the background,negative,positive,positive,positive,positive,Mundial
UgyRiTK8rucnC8B2Bex4AaABAg,Congratulations for Spain for winning the 2026 World Cup. Vamos Espana,positive,positive,neutral,positive,positive,Mundial
UgybUZvppftQf-lTV9F4AaABAg,Spain deserve it. I'm happy for them. 🏆,positive,positive,positive,positive,positive,Mundial
Ugw-AvRguwM_yXCcVXl4AaABAg,Wonderful goal and deserved victory,positive,positive,positive,positive,positive,Mundial
UgwwLwBq7f9-YVhwxYN4AaABAg,"Ferran deserved this goal more than anyone on this team, the mentality this guy has to keep going, even when everyone hated him and looked down on him ever since he came to barcelona, is absolutely elite ❤❤",positive,positive,neutral,positive,positive,Mundial
UgymPdgnuxVOelIaxc54AaABAg,Ferran Torres has now cemented his legend within the Spanish national team.,neutral,positive,neutral,positive,positive,Mundial
UgzFfMIc2LrXyCrR4GZ4AaABAg,"18 years ago, Fernando Torres started a new era of Spain. 18 years later, Ferran Torres carried on that legacy.",neutral,positive,positive,positive,positive,Mundial
UgzW8zTDZc1NiJ_GJVJ4AaABAg,"Congratulations to Spain, I mean it, what a fantastic performance, pure endless control 👏🏻 🇪🇸🥇",positive,positive,positive,positive,positive,Mundial
UgzstUC3RRIWu_m8hLt4AaABAg,Congratulations to Spain and all its citizens.  Keep Winning,positive,positive,positive,positive,positive,Mundial
UgyzmLYWlHpCMQ5hHEB4AaABAg,Ferran torres saved humanity ❤ thank you,positive,positive,positive,positive,positive,Mundial
Ugw3Pl2iFmbeF-x1_7V4AaABAg,"After his performance in the first game, we all doubted him wrongfully.",negative,positive,positive,positive,positive,Mundial
UgzeljRp6M0Rj2LKTiB4AaABAg,"Ferran really deserves this goal, He got a pretty evil arc in his life, He begged for goal against Saudi after 4:0, Finally he seems happy, Espanol Vamos",positive,positive,positive,positive,positive,Mundial
Ugx-jj4m1hWNXe7u4wl4AaABAg,The better country won! Viva España!,positive,positive,positive,positive,positive,Mundial
Ugw5lBIqBnyN9uPGAs54AaABAg,"Finals were definitely not the highlight of this world-cup, but at least Spain won. Argentina and its players were so incredibly unsportsmanlike throughout this entire event.",positive,negative,positive,negative,negative,Mundial
UgwG6QmkMa2jq-dZzHF4AaABAg,That one goal which changed the entire football,neutral,positive,positive,positive,positive,Mundial
UgxurpOjKD65Qlfb8hV4AaABAg,Thank you Ferran Torres for saving us from noise pollution ❤,positive,positive,positive,positive,positive,Mundial
UgxJ_O0OIq26eXEcqdx4AaABAg,"From a Romanian mom, a UK dad and a Swedish Baby, we have prayed for you Spain🙌🏻🙌🏻🙌🏻🙌🏻❤️❤️❤️❤️❤️❤️",neutral,positive,positive,positive,positive,Mundial
Ugyz6yrpTTAcdZ-c_c54AaABAg,"Spain fully deserved this victory. They didn’t win by luck—they earned it by defeating some of the strongest teams in the tournament: Austria 🇦🇹, Belgium 🇧🇪, Portugal 🇵🇹, France 🇫🇷, and finally Argentina 🇦🇷.",positive,positive,positive,positive,positive,Mundial
Ugx_3Th0LwxabyCeiSF4AaABAg,"Thank you Spain 
For saving us from noise❤",positive,positive,positive,positive,positive,Mundial
UgyptlVemWuIXk36Zox4AaABAg,"Ferran Torres next generation Fernando Torres, Underrated, yet sometimes leads the team to the championship.",positive,positive,positive,positive,positive,Mundial
UgyUAFl24s0XEWYgLN54AaABAg,"Love you, Spain from Bangladesh🥰 You worth it.",positive,positive,positive,positive,positive,Mundial
UgzGGCEEkgSVvsVILuJ4AaABAg,By far the most satisfying payback goal I have ever seen,positive,positive,positive,positive,positive,Mundial
UgyTGJmiHW6c_Qlf8Gt4AaABAg,THANK YOU SO MUCH FIFA WORLD CUP 2026 THAT'S BE VERY SPECIAL CUP AND MY FAMILY HAVE SPECIAL MOMENTS WITH THIS,positive,positive,positive,positive,positive,Mundial
UgyPowi8GA5_yt8XDtx4AaABAg,Of course they had to put ronaldo as the thumbnail😂,positive,negative,positive,neutral,positive,Mundial
UgzDJKYdDelOKScdGVF4AaABAg,GOAT In the thumbnail = Pure Aura,neutral,positive,neutral,positive,positive,Mundial
UgwLRMAg_Uu62hZc_tl4AaABAg,The idea is outstanding I will come back to watch it again.,positive,positive,neutral,positive,positive,Mundial
Ugz1o6EiBvucRq281rh4AaABAg,The editing is exactly what I needed It helped me understand better.,positive,positive,neutral,positive,positive,Mundial
Ugwbr0Y7Me-vGkOMApl4AaABAg,The editing is clear and easy to follow I enjoyed every second of it.,positive,positive,neutral,positive,positive,Mundial
Ugx6ZmaGLn6V1dU35al4AaABAg,The production quality is well made I learned a lot from it.,positive,positive,positive,positive,positive,Mundial
UgwnQPU2Djfam-BDKPp4AaABAg,The production quality is exactly what I needed It helped me understand better.,positive,positive,positive,positive,positive,Mundial
Ugx0Ia6J89L3N7LPey14AaABAg,This video is really helpful This deserves recognition.,positive,positive,positive,positive,positive,Mundial
Ugw7lpClqRks6NEJ0n54AaABAg,This tutorial is exactly what I needed I will come back to watch it again.,neutral,positive,positive,positive,positive,Mundial
UgybiZDytZqe7vJCmS14AaABAg,This performance is clear and easy to follow It deserves more views.,positive,positive,neutral,positive,positive,Mundial
Ugz11Xxa4ISTiSRf9754AaABAg,The editing is clear and easy to follow This deserves recognition.,positive,positive,neutral,positive,positive,Mundial
UgzIZmjnePYCATBMhH54AaABAg,The way you present is exactly what I needed I will come back to watch it again.,neutral,positive,neutral,positive,neutral,Mundial
UgyUotzepUM5QYLE5EZ4AaABAg,The production quality is worth sharing This deserves recognition.,positive,positive,neutral,positive,positive,Mundial
UgxQkIhHaIYCK0TfKIp4AaABAg,This tutorial is clear and easy to follow I enjoyed every second of it.,positive,positive,neutral,positive,positive,Mundial
UgzRiDDUJ1pWDBJPNPB4AaABAg,The content is clear and easy to follow This deserves recognition.,positive,positive,positive,positive,positive,Mundial
UgxLINDn4j0Awlp_eM94AaABAg,The way you present is exactly what I needed I learned a lot from it.,neutral,positive,neutral,positive,positive,Mundial
UgyXToul8eiiyKkL8LR4AaABAg,The way you present is very impressive This deserves recognition.,positive,positive,neutral,positive,positive,Mundial
UgzlH0bEY70PEUKu82N4AaABAg,The production quality is top notch This deserves recognition.,positive,positive,neutral,positive,positive,Mundial
UgzhSS4lPfEnf27n-9J4AaABAg,The way you present is underrated I will come back to watch it again.,neutral,positive,neutral,positive,positive,Mundial
Ugwytny4yAB4pivLV6t4AaABAg,Your explanation is underrated I will come back to watch it again.,neutral,positive,neutral,positive,positive,Mundial
Ugx-XKZLmdOw2Iu_rd14AaABAg,This channel is clear and easy to follow It deserves more views.,positive,positive,neutral,positive,positive,Mundial
UgyBNMPqif9oLpb90a94AaABAg,The production quality is worth sharing I will come back to watch it again.,positive,positive,neutral,positive,positive,Mundial
UgxRR4P1XcZfVAV9s7h4AaABAg,The editing is outstanding I will come back to watch it again.,positive,positive,neutral,positive,positive,Mundial
UgxXK8L9bxRAr1WDcw94AaABAg,This video is top notch I will come back to watch it again.,positive,positive,positive,positive,positive,Mundial
UgzxK6XUjZ5T8rorBit4AaABAg,The production quality is clear and easy to follow I really appreciate the effort.,positive,positive,positive,positive,positive,Mundial
UgyfnCncdtuuAwOEQmJ4AaABAg,2 minute highlight video for this match is criminal,negative,negative,positive,negative,negative,Mundial
UgzJdYQkICfKQIRZUUR4AaABAg,"Saturday: 10 goals in 90 minutes
Sunday: 1 goal in 120 minutes",neutral,negative,positive,neutral,neutral,Mundial
Ugwsze9WU5JXYHDa3oV4AaABAg,Mbappe suddenly remembered he could win the golden boot in half time.,positive,positive,positive,neutral,positive,Mundial
Ugy7Zlqe1PpciMcP4OV4AaABAg,France gifting England the third medal and England gifting France the golden boot 😂,positive,neutral,neutral,neutral,neutral,Mundial
Ugy_cwoBdKRgZJmA4dx4AaABAg,Both the teams had nothing to lose..So they played their normal game without any pressure,positive,neutral,neutral,neutral,neutral,Mundial
UgwGvgjNRhNIbjFxdr94AaABAg,Lowkey one of the few peaceful game of the world cup✌🏻😭,positive,neutral,neutral,positive,positive,Mundial
UgwBkQJ67M4IM99TD1V4AaABAg,Watch this game be more entertaining than the finals,positive,positive,neutral,positive,positive,Mundial
Ugx0Izfr4W0jKKuoE-B4AaABAg,This game was a fever dream...,positive,negative,positive,negative,negative,Mundial
Ugy3WbKFZ8Jcj-d2sF54AaABAg,"Ferran deserved this goal more than anyone on this team; the mentality this guy has to keep going, even though everyone hated him and looked down on him since he came to Barcelona, is absolutely elite",negative,positive,positive,positive,positive,Mundial
Ugx4wf6Dz7_Rl4tlF_d4AaABAg,10 Goal in 1 match is crazy 💀💀,negative,positive,positive,positive,positive,Mundial
UgxMzBaUDPa6Xcaf2bZ4AaABAg,This game should have been the final,neutral,positive,positive,positive,positive,Mundial
UgydLy50ko3E5_js2Tl4AaABAg,This has 10x more goals than Spain vs Argentina 😂,positive,negative,neutral,positive,positive,Mundial
UgzViK01ZbscP7tmTyJ4AaABAg,"This is exactly the third-place match we needed! We haven’t seen this many goals at this World Cup yet, and it all happened in regular time.",neutral,positive,neutral,positive,positive,Mundial
Ugx7Lgurvjs1e20tg0J4AaABAg,3rd-place final was 1000x more entertaining than the actual final,positive,negative,positive,positive,positive,Mundial
UgzmCH1QQfxipO6FEDZ4AaABAg,Way better than the actual final.,positive,negative,positive,positive,positive,Mundial
UgxbuZ03HgTnIijR8bR4AaABAg,"The best match in the whole WC26 tournament, way better than the Final",positive,positive,positive,positive,positive,Mundial
UgyMrhkg2r4Yhi4X2qd4AaABAg,i dont even know how to describe this game,neutral,positive,neutral,positive,positive,Mundial
UgyL0ubtX1buwGl_ck54AaABAg,"*Probably going to be a better game than the upcoming final.*

When you've got nothing to lose, you play fearlessly, this was what football was meant to be like, not the modern day games where teams play out of fear and not out of the love for the game.",positive,positive,neutral,positive,positive,Mundial
Ugyz35bfDM9KxMNvPR54AaABAg,They both lost the semi final but give us the best game of the world cup well done to both teams x,positive,positive,neutral,positive,positive,Mundial
Ugx3KvXA4CJ4riC9mMp4AaABAg,Ironic that this game turned out to be the footballing spectacle the final wasn't,negative,positive,negative,positive,positive,Mundial
UgwOKNFFGs4h7mzzdvB4AaABAg,"I cant believe they scored 10 goals in one match, im proud of us england, but also france for contributing to history as well, i dont think we can recreate this in a long time",positive,positive,negative,positive,positive,Mundial
UgwFzaUP9hfRscbAriV4AaABAg,Mbappe realising on half time : OH wait! i still have a chance to win golden boot😎,positive,positive,negative,neutral,positive,Mundial
Ugype1K7j6Gh8NQOZc14AaABAg,Probably the best of match this world cup....no unwanted fouls...no unwanted stoppages....no drama..not much modern philosophical football master plans....only pure old school direct football ⚽ most of all no hate....both sets of players respecting each other ❤,positive,positive,neutral,positive,positive,Mundial
Ugxhx-277AGSLsjPvPB4AaABAg,Both coaches should be arrested for robbing us of this France vs England final,negative,neutral,neutral,negative,negative,Mundial
UgzZZq1fGZPN_-aVETR4AaABAg,Now England realising they can also play like this,positive,neutral,negative,neutral,neutral,Mundial
