id,text,ai_opinion,Panagiotis,Athina,Final Opinion
Ugy2s7JFjlvkWDmVjaB4AaABAg,She won this with her energy 👌,positive,positive,positive,positive
Ugw4HATqeA5dMoWHivt4AaABAg,"This performance could easily be on an MTV award show. Impressive, and her acting was great too! 👏👏",positive,positive,positive,positive
UgwGrM548t8qWoy_IUJ4AaABAg,"Akylas spends three full minutes constantly dancing, climbing, and running around and he never misses a single note on the mouth microphone.
Honestly, it’s incredibly demanding.
This year, Greece is truly competing for the win.
The performance carries a message about overconsumption, wealth, and poverty but also that with love and hard work, you can make it through and succeed.",positive,positive,positive,positive
Ugx7sGrRh_3bV4c-4UB4AaABAg,"As a person from the Uk, this was 100% guaranteed in the final, you Greeks really deserved it ❤",positive,positive,positive,positive
UgwFzixb7F59kx8iZf54AaABAg,"He sings ""I want GLORY, ETERNITY, and MONEY"", and the three rooms represent that: a fan wearing merch with his pictures on her wall, an ancient Greek statue, and pure gold. Great staging!!",positive,positive,positive,positive
UgzLaQk2zkaF4eTxGtN4AaABAg,He just invented Gree-K-pop,neutral,positive,positive,positive
Ugyxzx7lJHLTn6-_Hmp4AaABAg,Last 3 entries from Greece are amazing! Love that they finally sing in their beautiful language and I hope they never stop! This is a renaissance era for Greece ❤❤,positive,neutral,positive,positive
UgzkSVNaM2Ry-Igixtl4AaABAg,"GO GO GO🇬🇷🔥
12 points from Indonesia🇮🇩❤️",negative,positive,positive,positive
UgyVNbxCy-WMZ0baVmR4AaABAg,12 points from Romania 🇷🇴 ❤️🇬🇷,neutral,positive,positive,positive
UgyeOC21QWde_6ebOuR4AaABAg,"What can I say.. Isn't everything perfect?
 As a Turk who has always been in love with Greek music, I really want Greece to get what it deserves this year❤",positive,positive,positive,positive
UgxD_GYwNEIv_F9Rfht4AaABAg,12 POINTS FROM CROATIA !🇭🇷😘,positive,positive,positive,positive
UgzgvSZPlXSFo06SFZp4AaABAg,The part with his mum changes the whole meaning of the song. Suddenly it’s not about greed or showing off but it’s about a child wanting to give back to the woman who sacrificed everything for him. That part was genuinely heartbreaking and very emotional  ❤️,negative,,positive,negative
UgwaTH9YKbqMbZnICVR4AaABAg,"Rooting for Greece! From Switzerland!
 🇨🇭🤝🇬🇷",neutral,positive,positive,positive
UgzCiNH92kTGTUZFdlN4AaABAg,"I’m with Akylas all the way to the end! It’s about watching a kid who, just a few months ago, was busking for passersby outside the streets of Athens, now rightfully earning his place on the biggest musical stage in the world, simply because he relentlessly chased his dream.
This is a wake-up call for us to finally decide what kind of society we want to be. Do we want happy kids fighting for their own dreams—even if those dreams don't fit our personal taste—or kids drowning in despair, driven to the absolute edge?
For me, a true role model has nothing to do with personal preferences. It doesn't matter if you’re different as a person. What actually counts, what we should really look up to and admire, is the kindness someone radiates, their honest hustle to make it, and the strength to never give up on their dreams. That is what a real role model looks like.
Best of luck, Akylas! From the streets to the very top, your kindness and your struggle are already a massive victory.",positive,positive,positive,positive
Ugyw6gcmdqTC3z381pB4AaABAg,"All my votes for you Akylas! What a smart and meaningful song, and excellent staging! Well done Greek delegation! Greece 2027 🇬🇷🇬🇷🇬🇷",positive,positive,positive,positive
UgwU1H0w5jk9jpMT9mF4AaABAg,I think we already know the televoting winner 🇬🇷🏆,positive,positive,neutral,positive
UgwxV6ym5WSeH0QIvN94AaABAg,12 points from Germany ❤bravo Greece 🇬🇷 ❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,positive,positive,positive,positive
Ugy044QUE7-NkuWskQt4AaABAg,He needs to win so I can plan a longer stay in Greece next year 😂❤,positive,positive,positive,positive
Ugyh4Z-qi6ric_neXCh4AaABAg,"I had the honor to be there live and see the performance from an angle where I saw what the stage crew had to do to make the performance look as flawless as it does here. Several people running like maniacs to change the props, and of course Akylas running like crazy as well 😂😁. It's really imprinted in my brain as the most insane performance of the evening",positive,neutral,positive,positive
Ugy006Q9YDrQTiWfgap4AaABAg,And finally I see why people are loving this! It took me several months. But this live performance opened my eyes - and ears! Regards from Norway,positive,neutral,positive,positive
UgzJ5-bDJ4tqJBp3TlF4AaABAg,Bravo Greece from 🇭🇷💕,positive,positive,positive,positive
UgzrcZEGHl9zORN39xB4AaABAg,Is this even real???!!! That was siiiick. SPEECHLESS 😮❤️😍 FERTO AKYLA the winner regardless of the result 👑🐯,positive,positive,positive,positive
Ugx4y66Wi7wJ7yeGMgJ4AaABAg,"Craziest part of this performance is that he managed to sing AND dance perfectly (and mostly) on his own without showing any signs of exhaustion even after he finished his song. That on its own needs true dedication and passion for music. 
Well done Akylas we expect much more from you in the future 🙌🙌",positive,,positive,positive
Ugwy2ptKKwdMpW6Rfeh4AaABAg,"Ferto is a truly one of a kind song. Tells us the story of a young man who wants all and everything: fame, eternity, money. Nothing is enough for him. He wants more and more.

And there comes the twist. All this greed comes from a childhood in poverty, where his mom couldn't provide everything she would want to provide.

For a brief moment the emotions flood him, he speaks to his mom and how material goods will heal them.

And then the greed returns.....

What an amazing song.

Rightfully deserves No1 place",positive,positive,positive,positive
UgyFNR63jiX8QnTlm2l4AaABAg,#NAME?,positive,positive,positive,positive
UgwK6rs_s6-4VQsUFRF4AaABAg,12 points from Australia Go Akylas,neutral,positive,positive,positive
UgwKQZJxgnPeWQVhW_J4AaABAg,Athens 2027 is calling! 📞 Greece didn’t just send a song; they sent a whole cultural moment. Akylas is taking this all the way! 🇬🇷🦁,neutral,positive,positive,positive
UgxGENxOsCd9ng-pYIV4AaABAg,"As Kaarija said ""It's crazy, it's party""",positive,positive,positive,positive
UgxoKEdX2BfmZ9R4imJ4AaABAg,The most important thing is that he wrote this song thinking about his life that was hard financially and he dedicated it to his mom. He is a very talented young man who is there only due to his talent and his hard work. Akylas will bring it home! FERTO!,positive,positive,positive,positive
Ugz4bDN0Oj9I81Rdpt54AaABAg,I want everyone to scream ferto mou ferto mou in the vienna era in may,negative,positive,positive,positive
UgxMZuwM1nz-KkJTMDB4AaABAg,Käärijä has already found his new friend for his eurovisionfamily 😂,positive,positive,neutral,positive
UgxbGoH_mI0Ei1MvDbN4AaABAg,His voice being as good as the original video is crazy,positive,positive,positive,positive
Ugym7YefovFrPSSFb1N4AaABAg,i just love it when a buff greek man wearing a hat with cat ears sings about greed and corruption,positive,,positive,positive
Ugyz2baYmaZmMKrNeaF4AaABAg,Im in Shock!I didn't expect Greece to send a song like this to Eurovision! Well done Greece!🎉,positive,,positive,positive
UgxOFNcuhXXq89HBmeB4AaABAg,i dont understand a word but this has so much energy,positive,,positive,positive
Ugxl8bjRRKxS_BPBWnt4AaABAg,"At first I thought this song didn't have much of a meaning, but after reading the translation, I liked it. The sarcasm and mockery of gluttony and greed make this song very relevant today. I wish you luck and a worthy place, from Azerbaijan❤",positive,,positive,positive
Ugx5hENjxAYAntiIsaJ4AaABAg,This is gonna be crazy in the arena,negative,,positive,negative
Ugwd-drMb6XRPVzi07l4AaABAg,"Hear me out, this is giving an uncanny Käärijä vibes to me (as a finn), and I absolutely love it!

With all the love, it’s game on..
🇫🇮🇬🇷",positive,,positive,positive
UgxFZQ2w6X8yspDO1KJ4AaABAg,"I am waitting for the ""Greece, the public gave you 650 points"" 👏 😀",positive,,positive,positive
Ugx3BxLPv8rpBONLmFx4AaABAg,The second golden age of Greece in Eurovision might have just started,neutral,,positive,neutral
Ugyh4BEJOGIpShXzG3J4AaABAg,"He can even sing a ballad, very rare for the singers of such entries, he can literally sing!",neutral,,positive,neutral
UgytBRgcMPi43BXsJ394AaABAg,"when I say this is the spirit of Eurovision, its this! Like Käärijä said : “it’s crazy, it’s party” !! Good luck!",positive,,positive,positive
UgwZB3skI_ub5SNnstZ4AaABAg,"The fact that he is talking to his mother is so heartwarmin
EDIT:OMG tysm for all the likes",positive,,positive,positive
UgxYnOIX517wi0qrGJR4AaABAg,"This is actually a sad song deep down, despite being upbeat. The ballad bit puts the rest of it into context. He's not saying ""bring me"" things out of greed but out of need, because there were times where he didn't have anything.",negative,,positive,negative
UgxYeiB1n-kdW6kReUR4AaABAg,my new obsession for the next three months has been found recently,negative,,positive,negative
UgzKPgxo6F3SjdQQRS54AaABAg,12 points from italy 🇮🇹 ❤ 🇬🇷,positive,,positive,positive
UgycrdRlfZEx98XWqNV4AaABAg,This took away my depression,negative,,positive,negative
UgyG2hbgo5i-Sq46cVl4AaABAg,Eurovision is finally returning to the Balkans🏆,neutral,,positive,neutral
UgxhTY3Fvds1Wfc1MJN4AaABAg,"12 points go to Greece 🇬🇷 🥳🥳🥳 
🥇🥇🥇 
Hello from Slovenia 🇸🇮",positive,,positive,positive
UgzGJEk6DW_ezxnh9nN4AaABAg,"united by music ❌
united by FERTO ✅",positive,,positive,positive
Ugx9UTLfUbzJmaBAckd4AaABAg,#NAME?,neutral,,positive,neutral
UgzfhHjYWoelXS6XCnl4AaABAg,My personal winner from Germany! 12 Points! Good luck Greece 💙,positive,,positive,positive
Ugyp-5tQmQBVgSH4qv94AaABAg,🇬🇷 Will Klavdia get a high jury result for Greece ?,neutral,,neutral,neutral
UgzPDZQdKtSKUZ8WNKR4AaABAg,"How many 14th do you want? 

Greece: yes",positive,,neutral,neutral
UgwxYu9ze135ZB01jg14AaABAg,I feel like Greece likes being 14th with the juries,positive,,neutral,neutral
UgyP28uOt3N8i1r71Ht4AaABAg,Eurovision 2005 : Greece 1th,neutral,,neutral,neutral
UgzIEZb4gHi8bSBZrMN4AaABAg,I can say that Greece is very underrated with the juries like 2011 and 13 wtf,negative,,negative,negative
UgxFKQ20GRzh5KtIv_J4AaABAg,I love greece in eurovision 🇳🇿❤️🇬🇷,positive,,positive,positive
Ugx7GeHJX29nwubbys14AaABAg,my favourite 2010 cause i still listen to it,neutral,,positive,neutral
Ugz__1AFE35rGWWMLON4AaABAg,How count jury places early 2016???,neutral,,neutral,neutral
Ugw5nF8nz5eoFcu3Bht4AaABAg,2019 is a masterpiece ⭐,positive,,positive,positive
UgzNyoI-DB3Ropfloyt4AaABAg,I'm from Greece,neutral,,neutral,neutral
UgwqPdZGerZ05uA6Tad4AaABAg,I am from Greece🎉❤,positive,,neutral,neutral
Ugyo9PKXmyL-9P3Wfgp4AaABAg,I love the 2024 song so much I'm from Greece,positive,,positive,positive
UgwNOjvGsz5B8oPZJSF4AaABAg,"Number one, shake it, yasou maria? secret combination? die for you etc?",negative,,neutral,neutral
UgxQqbaGBEQqJebnUnR4AaABAg,"My number 1 1st
What about Klavdia?
And with Marina Sati 11th",positive,,neutral,neutral
UgxQ_coJvbeOfbq3H3d4AaABAg,The crazy thing is I am from Greece and I just see this while scrolling oh and the 4th one is in -10,negative,,neutral,neutral
UgzTS13-YNnp6lHZfQ94AaABAg,I'm from Greece 🇬🇷,neutral,,positive,neutral
UgwollDR4jSjhHAkyoJ4AaABAg,"Just read it for the 10th time.. still don't get what I am missing.. it says ""Eurovision Greece top 10 Juries""",negative,,neutral,neutral
UgyoYnei53B9CG-RVRt4AaABAg,"Helena paparoizou she was 1st on Eurovision ❤❤
and klavdia is 6th❤❤",positive,,neutral,neutral
Ugw8q7LNYODPmdgM42h4AaABAg,1 is 2005 Helena Paparizou with song my number one and she gets the 1st,positive,,neutral,neutral
UgxbkA_uUc0wJItBjV54AaABAg,Can't wait for asteromata and ferto,neutral,,positive,neutral
UgwiZ699f8tZF7Rlflt4AaABAg,Sr where is number one?????,positive,,neutral,neutral
Ugyd5f61lrgE90wCR6J4AaABAg,For gods shake i am from Greece and i am so red rn.......😅,positive,,negative,positive
Ugy1z7R2XM-gnBcT9-Z4AaABAg,At least this year perfect place,positive,,positive,positive
Ugz6Pdmx9CvuA2fjSyp4AaABAg,"Hi I'm from 2026 and we have Akylas who sings the ""ferto"" and we got 10th",neutral,,neutral,neutral
UgzBdom3HOgWEZqKObh4AaABAg,Why did you put the 2005 they literally got number one,positive,,positive,positive
