id,text,ai_opinion,Panagiotis,cleaned_text
Ugx4Nn5EVJa8Fekl3HF4AaABAg,No way Waterloo from ABBA isn't in this list...,negative,,way waterloo abba isnt list
UgznYEnruvyHdN0kSot4AaABAg,Source: Trust me Bro,positive,,source trust bro
UgxoCI6cvcPOKksa4lp4AaABAg,RUNAWAY IS A FUCKING CLASSIC BRO I JUST REWATCHED THAT EPIC SAX GUY VIDEO,neutral,,runaway fucking classic bro rewatched epic sax guy video
UgxK1x3CJk0wy8VimE94AaABAg,Waterloo is the most known and also the most important song in Eurovision history. The impact the song had to the entire contest is unbelievable.,positive,,waterloo known also important song eurovision history impact song entire contest unbelievable
UgyG-tzBOf0XointGgR4AaABAg,I love Fairytale and arcade ❤,positive,,love fairytale arcade
Ugwp2a5yD0qTsUavVBl4AaABAg,I love these all and I think everyone deserves the spot they have (#JusticeforJoost) but where are Waterloo and Zitti e Buoni? I think everyone knows Waterloo and Maneskin is also in the top 400 artists in the world.,positive,,love think everyone deserves spot waterloo zitti e buoni think everyone knows waterloo maneskin also top 400 artists world
UgxG4HtGBEvMzCD3rY94AaABAg,Europapa being disqualified was the most bs I’ve ever seen to this day,negative,,europapa disqualified bs ive ever seen day
UgwOWjNDqnMrT3TjE3t4AaABAg,"For all those who don't understand the staging: She is in the room with her demons, her haters and fears. When she won the National Selection she wanted to give up because the Bulgarians beat her on the internet. Despite them, however, she decided to go out and show her talent. As in the staging - in the end she left the room and took control of her demons. What a star, this is art. Winner.",positive,,dont understand staging room demons haters fears national selection wanted give bulgarians beat internet despite however decided go show talent staging end left room took control demons star art winner
UgwHAz-L5_rDYG_-I0N4AaABAg,12 points from Croatia 💪,neutral,,12 points croatia
UgydWcjsJ05JIP7UDv54AaABAg,The live performance is even better than the original. This rarely happens! I’m so impressed! Loved every second of it,positive,,live performance even better original rarely happens im impressed loved every second
Ugy_vFqvrU35j-3y5gd4AaABAg,Whoever choreographed this needs an award !!!!,positive,,whoever choreographed needs award
Ugx-i_IbwtRoC6nYa-x4AaABAg,"There are SO many details in this performance! Not just the vocal, the movement, even the small facial expression! You can clearly see how much effort the team put into it. Not just Dara, but the whole team, well done.",positive,,many details performance vocal movement even small facial expression clearly see much effort team put dara whole team well done
Ugy6BO76IqqtQaDqM5Z4AaABAg,"NEVER LEAVE EUROVISION AGAIN BULGARIA 

WELCOME BACK !!",positive,,never leave eurovision bulgaria welcome back
UgzBh_Et6bQw4CxTeil4AaABAg,12 points from 🇷🇸 🫶 🇧🇬,neutral,,12 points
UgwM5GBBgLGJK6e1_eF4AaABAg,"This song and performance served as proof that success is possible, regardless of the country. As you know, Balkan countries often fail to get the recognition they deserve at Eurovision.",positive,,song performance served proof success possible regardless country know balkan countries often fail get recognition deserve eurovision
Ugz4fAbIwKoxd6fHwkx4AaABAg,"This is the best song in eurovision 12 points from Serbia.
Absolute BANGARA",positive,,best song eurovision 12 points serbia absolute bangara
Ugz4PELW3l9ubSRvA8J4AaABAg,The Balkans are on fire this year and Bulgaria is coming back to the contest in a truly legendary way ❤️ 🇧🇬,positive,,balkans fire year bulgaria coming back contest truly legendary way
Ugw10s-63bMSb21SijF4AaABAg,12 points from the Georgian jury go to Bulgaria🇬🇪🇧🇬🔥,negative,,12 points georgian jury go bulgaria
UgzUyjbUdxwpe6e5ijN4AaABAg,12 points from Poland go to BULGARIA BANGARANGA LOVE U 🇵🇱❤️🇧🇬,positive,,12 points poland go bulgaria bangaranga love u
Ugy6VcNBRvRNEEEZSWp4AaABAg,ppl cant even realise how difficult this is . amazing work blew my head off,positive,,ppl cant even realise difficult amazing work blew head
Ugx6-AOurRvum9NLKe14AaABAg,"she was professional mann the expressions, vocals, everything",neutral,,professional mann expressions vocals everything
UgwB_3T9xpBMgW1Ewmh4AaABAg,"I'm shocked at how charismatic DARA is. That's a huge plus from me, and the choreography comes second. Well done, Bulgaria! This isn't the type of song I usually listen to, but as a complete package, you deserve the top spot. Greetings from Croatia.",positive,,im shocked charismatic dara thats huge plus choreography comes second well done bulgaria isnt type song usually listen complete package deserve top spot greetings croatia
UgzaQT9Q3ynW2S0hted4AaABAg,"Bravo DARA! All of Bulgaria is proud of you! Thanks to you, EUROVISION in 2027 will be in Bulgaria! 🇧🇬🇧🇬🇧🇬",positive,positive,bravo dara bulgaria proud thanks eurovision 2027 bulgaria
Ugx9DqhHK2ZQxtdc9-94AaABAg,Masterpiece! Welldone Bulgaria! What a comeback! 12 points from Croatia! 🇭🇷🤝🇧🇬,positive,positive,masterpiece welldone bulgaria comeback 12 points croatia
Ugyj2jva9P1PKzp-63N4AaABAg,She is amazing!!! I don’t think people realise how hard is to sing and dance at such tempo,positive,positive,amazing dont think people realise hard sing dance tempo
UgyGtoX-THn4Tm84A5N4AaABAg,"Sweden here 🇸🇪 — Bulgaria just WON idc 🔥😮‍🔥
This song is INSANE 💥 winner vibes all the way 🏆🇧🇬",negative,positive,sweden bulgaria idc song insane winner vibes way
UgzfeGYASun28LeMRiZ4AaABAg,nice to see someone win that actually deserved it for once ….,positive,positive,nice see someone win actually deserved
Ugwr4wSUsJbdlAtwDc94AaABAg,Serbia 🇷🇸 is rooting for our sister Dara! 🔥❤️,negative,positive,serbia rooting sister dara
UgwUeyzcjTD-HP2fBQB4AaABAg,"ABSOLUTELY BANGARANGA
my vote from Greece to our brothers in Bulgaria 🇧🇬 ❤🇬🇷",neutral,positive,absolutely bangaranga vote greece brothers bulgaria
UgxmK8iGohfQEnWxXnd4AaABAg,12 points to Bulgaria from Greece¬!!!,neutral,positive,12 points bulgaria greece
Ugy2s7JFjlvkWDmVjaB4AaABAg,She won this with her energy 👌,positive,positive,energy
Ugw4HATqeA5dMoWHivt4AaABAg,"This performance could easily be on an MTV award show. Impressive, and her acting was great too! 👏👏",positive,positive,performance could easily mtv award show impressive acting great
UgwGrM548t8qWoy_IUJ4AaABAg,"Akylas spends three full minutes constantly dancing, climbing, and running around and he never misses a single note on the mouth microphone.
Honestly, it’s incredibly demanding.
This year, Greece is truly competing for the win.
The performance carries a message about overconsumption, wealth, and poverty but also that with love and hard work, you can make it through and succeed.",positive,positive,akylas spends three full minutes constantly dancing climbing running around never misses single note mouth microphone honestly incredibly demanding year greece truly competing win performance carries message overconsumption wealth poverty also love hard work make succeed
Ugx7sGrRh_3bV4c-4UB4AaABAg,"As a person from the Uk, this was 100% guaranteed in the final, you Greeks really deserved it ❤",positive,positive,person uk 100 guaranteed final greeks really deserved
UgwFzixb7F59kx8iZf54AaABAg,"He sings ""I want GLORY, ETERNITY, and MONEY"", and the three rooms represent that: a fan wearing merch with his pictures on her wall, an ancient Greek statue, and pure gold. Great staging!!",positive,positive,sings want glory eternity money three rooms represent fan wearing merch pictures wall ancient greek statue pure gold great staging
UgzLaQk2zkaF4eTxGtN4AaABAg,He just invented Gree-K-pop,neutral,positive,invented greekpop
Ugyxzx7lJHLTn6-_Hmp4AaABAg,Last 3 entries from Greece are amazing! Love that they finally sing in their beautiful language and I hope they never stop! This is a renaissance era for Greece ❤❤,positive,neutral,last 3 entries greece amazing love finally sing beautiful language hope never stop renaissance era greece
UgzkSVNaM2Ry-Igixtl4AaABAg,"GO GO GO🇬🇷🔥
12 points from Indonesia🇮🇩❤️",negative,positive,go go go 12 points indonesia
UgyVNbxCy-WMZ0baVmR4AaABAg,12 points from Romania 🇷🇴 ❤️🇬🇷,neutral,positive,12 points romania
UgyeOC21QWde_6ebOuR4AaABAg,"What can I say.. Isn't everything perfect?
 As a Turk who has always been in love with Greek music, I really want Greece to get what it deserves this year❤",positive,positive,say isnt everything perfect turk always love greek music really want greece get deserves year
UgxD_GYwNEIv_F9Rfht4AaABAg,12 POINTS FROM CROATIA !🇭🇷😘,positive,positive,12 points croatia
UgzgvSZPlXSFo06SFZp4AaABAg,The part with his mum changes the whole meaning of the song. Suddenly it’s not about greed or showing off but it’s about a child wanting to give back to the woman who sacrificed everything for him. That part was genuinely heartbreaking and very emotional  ❤️,negative,,part mum changes whole meaning song suddenly greed showing child wanting give back woman sacrificed everything part genuinely heartbreaking emotional
UgwaTH9YKbqMbZnICVR4AaABAg,"Rooting for Greece! From Switzerland!
 🇨🇭🤝🇬🇷",neutral,positive,rooting greece switzerland
UgzCiNH92kTGTUZFdlN4AaABAg,"I’m with Akylas all the way to the end! It’s about watching a kid who, just a few months ago, was busking for passersby outside the streets of Athens, now rightfully earning his place on the biggest musical stage in the world, simply because he relentlessly chased his dream.
This is a wake-up call for us to finally decide what kind of society we want to be. Do we want happy kids fighting for their own dreams—even if those dreams don't fit our personal taste—or kids drowning in despair, driven to the absolute edge?
For me, a true role model has nothing to do with personal preferences. It doesn't matter if you’re different as a person. What actually counts, what we should really look up to and admire, is the kindness someone radiates, their honest hustle to make it, and the strength to never give up on their dreams. That is what a real role model looks like.
Best of luck, Akylas! From the streets to the very top, your kindness and your struggle are already a massive victory.",positive,positive,im akylas way end watching kid months ago busking passersby outside streets athens rightfully earning place biggest musical stage world simply relentlessly chased dream wakeup call us finally decide kind society want want happy kids fighting dreamseven dreams dont fit personal tasteor kids drowning despair driven absolute edge true role model nothing personal preferences doesnt matter youre different person actually counts really look admire kindness someone radiates honest hustle make strength never give dreams real role model looks like best luck akylas streets top kindness struggle already massive victory
Ugyw6gcmdqTC3z381pB4AaABAg,"All my votes for you Akylas! What a smart and meaningful song, and excellent staging! Well done Greek delegation! Greece 2027 🇬🇷🇬🇷🇬🇷",positive,positive,votes akylas smart meaningful song excellent staging well done greek delegation greece 2027
UgwU1H0w5jk9jpMT9mF4AaABAg,I think we already know the televoting winner 🇬🇷🏆,positive,positive,think already know televoting winner
UgwxV6ym5WSeH0QIvN94AaABAg,12 points from Germany ❤bravo Greece 🇬🇷 ❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,positive,positive,12 points germany bravo greece
Ugy044QUE7-NkuWskQt4AaABAg,He needs to win so I can plan a longer stay in Greece next year 😂❤,positive,positive,needs win plan longer stay greece next year
Ugyh4Z-qi6ric_neXCh4AaABAg,"I had the honor to be there live and see the performance from an angle where I saw what the stage crew had to do to make the performance look as flawless as it does here. Several people running like maniacs to change the props, and of course Akylas running like crazy as well 😂😁. It's really imprinted in my brain as the most insane performance of the evening",positive,neutral,honor live see performance angle saw stage crew make performance look flawless several people running like maniacs change props course akylas running like crazy well really imprinted brain insane performance evening
Ugy006Q9YDrQTiWfgap4AaABAg,And finally I see why people are loving this! It took me several months. But this live performance opened my eyes - and ears! Regards from Norway,positive,neutral,finally see people loving took several months live performance opened eyes ears regards norway
UgzJ5-bDJ4tqJBp3TlF4AaABAg,Bravo Greece from 🇭🇷💕,positive,positive,bravo greece
UgzrcZEGHl9zORN39xB4AaABAg,Is this even real???!!! That was siiiick. SPEECHLESS 😮❤️😍 FERTO AKYLA the winner regardless of the result 👑🐯,positive,positive,even real siiiick speechless ferto akyla winner regardless result
Ugx4y66Wi7wJ7yeGMgJ4AaABAg,"Craziest part of this performance is that he managed to sing AND dance perfectly (and mostly) on his own without showing any signs of exhaustion even after he finished his song. That on its own needs true dedication and passion for music. 
Well done Akylas we expect much more from you in the future 🙌🙌",positive,,craziest part performance managed sing dance perfectly mostly without showing signs exhaustion even finished song needs true dedication passion music well done akylas expect much future
Ugwy2ptKKwdMpW6Rfeh4AaABAg,"Ferto is a truly one of a kind song. Tells us the story of a young man who wants all and everything: fame, eternity, money. Nothing is enough for him. He wants more and more.

And there comes the twist. All this greed comes from a childhood in poverty, where his mom couldn't provide everything she would want to provide.

For a brief moment the emotions flood him, he speaks to his mom and how material goods will heal them.

And then the greed returns.....

What an amazing song.

Rightfully deserves No1 place",positive,positive,ferto truly one kind song tells us story young man wants everything fame eternity money nothing enough wants comes twist greed comes childhood poverty mom couldnt provide everything would want provide brief moment emotions flood speaks mom material goods heal greed returns amazing song rightfully deserves no1 place
UgyFNR63jiX8QnTlm2l4AaABAg,"-How many times have you seen the performance?
-Yes.",positive,positive,many times seen performance yes
UgwK6rs_s6-4VQsUFRF4AaABAg,12 points from Australia Go Akylas,neutral,positive,12 points australia go akylas
UgwKQZJxgnPeWQVhW_J4AaABAg,Athens 2027 is calling! 📞 Greece didn’t just send a song; they sent a whole cultural moment. Akylas is taking this all the way! 🇬🇷🦁,neutral,positive,athens 2027 calling greece didnt send song sent whole cultural moment akylas taking way
UgxGENxOsCd9ng-pYIV4AaABAg,"As Kaarija said ""It's crazy, it's party""",positive,positive,kaarija said crazy party
UgxoKEdX2BfmZ9R4imJ4AaABAg,The most important thing is that he wrote this song thinking about his life that was hard financially and he dedicated it to his mom. He is a very talented young man who is there only due to his talent and his hard work. Akylas will bring it home! FERTO!,positive,positive,important thing wrote song thinking life hard financially dedicated mom talented young man due talent hard work akylas bring home ferto
Ugz4bDN0Oj9I81Rdpt54AaABAg,I want everyone to scream ferto mou ferto mou in the vienna era in may,negative,positive,want everyone scream ferto mou ferto mou vienna era may
UgxMZuwM1nz-KkJTMDB4AaABAg,Käärijä has already found his new friend for his eurovisionfamily 😂,positive,positive,käärijä already found new friend eurovisionfamily
UgxbGoH_mI0Ei1MvDbN4AaABAg,His voice being as good as the original video is crazy,positive,positive,voice good original video crazy
Ugym7YefovFrPSSFb1N4AaABAg,i just love it when a buff greek man wearing a hat with cat ears sings about greed and corruption,positive,,love buff greek man wearing hat cat ears sings greed corruption
Ugyz2baYmaZmMKrNeaF4AaABAg,Im in Shock!I didn't expect Greece to send a song like this to Eurovision! Well done Greece!🎉,positive,,im shocki didnt expect greece send song like eurovision well done greece
UgxOFNcuhXXq89HBmeB4AaABAg,i dont understand a word but this has so much energy,positive,,dont understand word much energy
Ugxl8bjRRKxS_BPBWnt4AaABAg,"At first I thought this song didn't have much of a meaning, but after reading the translation, I liked it. The sarcasm and mockery of gluttony and greed make this song very relevant today. I wish you luck and a worthy place, from Azerbaijan❤",positive,,first thought song didnt much meaning reading translation liked sarcasm mockery gluttony greed make song relevant today wish luck worthy place azerbaijan
Ugx5hENjxAYAntiIsaJ4AaABAg,This is gonna be crazy in the arena,negative,,gonna crazy arena
Ugwd-drMb6XRPVzi07l4AaABAg,"Hear me out, this is giving an uncanny Käärijä vibes to me (as a finn), and I absolutely love it!

With all the love, it’s game on..
🇫🇮🇬🇷",positive,,hear giving uncanny käärijä vibes finn absolutely love love game
UgxFZQ2w6X8yspDO1KJ4AaABAg,"I am waitting for the ""Greece, the public gave you 650 points"" 👏 😀",positive,,waitting greece public gave 650 points
Ugx3BxLPv8rpBONLmFx4AaABAg,The second golden age of Greece in Eurovision might have just started,neutral,,second golden age greece eurovision might started
Ugyh4BEJOGIpShXzG3J4AaABAg,"He can even sing a ballad, very rare for the singers of such entries, he can literally sing!",neutral,,even sing ballad rare singers entries literally sing
UgytBRgcMPi43BXsJ394AaABAg,"when I say this is the spirit of Eurovision, its this! Like Käärijä said : “it’s crazy, it’s party” !! Good luck!",positive,,say spirit eurovision like käärijä said crazy party good luck
UgwZB3skI_ub5SNnstZ4AaABAg,"The fact that he is talking to his mother is so heartwarmin
EDIT:OMG tysm for all the likes",positive,,fact talking mother heartwarmin editomg tysm likes
UgxYnOIX517wi0qrGJR4AaABAg,"This is actually a sad song deep down, despite being upbeat. The ballad bit puts the rest of it into context. He's not saying ""bring me"" things out of greed but out of need, because there were times where he didn't have anything.",negative,,actually sad song deep despite upbeat ballad bit puts rest context hes saying bring things greed need times didnt anything
UgxYeiB1n-kdW6kReUR4AaABAg,my new obsession for the next three months has been found recently,negative,,new obsession next three months found recently
UgzKPgxo6F3SjdQQRS54AaABAg,12 points from italy 🇮🇹 ❤ 🇬🇷,positive,,12 points italy
UgycrdRlfZEx98XWqNV4AaABAg,This took away my depression,negative,,took away depression
UgyG2hbgo5i-Sq46cVl4AaABAg,Eurovision is finally returning to the Balkans🏆,neutral,,eurovision finally returning balkans
UgxhTY3Fvds1Wfc1MJN4AaABAg,"12 points go to Greece 🇬🇷 🥳🥳🥳 
🥇🥇🥇 
Hello from Slovenia 🇸🇮",positive,,12 points go greece hello slovenia
UgzGJEk6DW_ezxnh9nN4AaABAg,"united by music ❌
united by FERTO ✅",positive,,united music united ferto
Ugx9UTLfUbzJmaBAckd4AaABAg,"- how many times does have you listened the song?  
- ferto",neutral,,many times listened song ferto
UgzfhHjYWoelXS6XCnl4AaABAg,My personal winner from Germany! 12 Points! Good luck Greece 💙,positive,,personal winner germany 12 points good luck greece
Ugyp-5tQmQBVgSH4qv94AaABAg,🇬🇷 Will Klavdia get a high jury result for Greece ?,neutral,,klavdia get high jury result greece
UgzPDZQdKtSKUZ8WNKR4AaABAg,"How many 14th do you want? 

Greece: yes",positive,,many 14th want greece yes
UgwxYu9ze135ZB01jg14AaABAg,I feel like Greece likes being 14th with the juries,positive,,feel like greece likes 14th juries
UgyP28uOt3N8i1r71Ht4AaABAg,Eurovision 2005 : Greece 1th,neutral,,eurovision 2005 greece 1th
UgzIEZb4gHi8bSBZrMN4AaABAg,I can say that Greece is very underrated with the juries like 2011 and 13 wtf,negative,,say greece underrated juries like 2011 13 wtf
UgxFKQ20GRzh5KtIv_J4AaABAg,I love greece in eurovision 🇳🇿❤️🇬🇷,positive,,love greece eurovision
Ugx7GeHJX29nwubbys14AaABAg,my favourite 2010 cause i still listen to it,neutral,,favourite 2010 cause still listen
Ugz__1AFE35rGWWMLON4AaABAg,How count jury places early 2016???,neutral,,count jury places early 2016
Ugw5nF8nz5eoFcu3Bht4AaABAg,2019 is a masterpiece ⭐,positive,,2019 masterpiece
UgzNyoI-DB3Ropfloyt4AaABAg,I'm from Greece,neutral,,im greece
UgwqPdZGerZ05uA6Tad4AaABAg,I am from Greece🎉❤,positive,,greece
Ugyo9PKXmyL-9P3Wfgp4AaABAg,I love the 2024 song so much I'm from Greece,positive,,love 2024 song much im greece
UgwNOjvGsz5B8oPZJSF4AaABAg,"Number one, shake it, yasou maria? secret combination? die for you etc?",negative,,number one shake yasou maria secret combination die etc
UgxQqbaGBEQqJebnUnR4AaABAg,"My number 1 1st
What about Klavdia?
And with Marina Sati 11th",positive,,number 1 1st klavdia marina sati 11th
UgxQ_coJvbeOfbq3H3d4AaABAg,The crazy thing is I am from Greece and I just see this while scrolling oh and the 4th one is in -10,negative,,crazy thing greece see scrolling oh 4th one 10
UgzTS13-YNnp6lHZfQ94AaABAg,I'm from Greece 🇬🇷,neutral,,im greece
UgwollDR4jSjhHAkyoJ4AaABAg,"Just read it for the 10th time.. still don't get what I am missing.. it says ""Eurovision Greece top 10 Juries""",negative,,read 10th time still dont get missing says eurovision greece top 10 juries
UgyoYnei53B9CG-RVRt4AaABAg,"Helena paparoizou she was 1st on Eurovision ❤❤
and klavdia is 6th❤❤",positive,,helena paparoizou 1st eurovision klavdia 6th
Ugw8q7LNYODPmdgM42h4AaABAg,1 is 2005 Helena Paparizou with song my number one and she gets the 1st,positive,,1 2005 helena paparizou song number one gets 1st
UgxbkA_uUc0wJItBjV54AaABAg,Can't wait for asteromata and ferto,neutral,,cant wait asteromata ferto
UgwiZ699f8tZF7Rlflt4AaABAg,Sr where is number one?????,positive,,sr number one
Ugyd5f61lrgE90wCR6J4AaABAg,For gods shake i am from Greece and i am so red rn.......😅,positive,,gods shake greece red rn
Ugy1z7R2XM-gnBcT9-Z4AaABAg,At least this year perfect place,positive,,least year perfect place
Ugz6Pdmx9CvuA2fjSyp4AaABAg,"Hi I'm from 2026 and we have Akylas who sings the ""ferto"" and we got 10th",neutral,,hi im 2026 akylas sings ferto got 10th
UgzBdom3HOgWEZqKObh4AaABAg,Why did you put the 2005 they literally got number one,positive,,put 2005 literally got number one
